Date,Open,High,Low,Close,Adjusted_close,Volume
2021-02-19,130.24,130.71,128.8,129.87,128.7345,87668800
2021-02-22,128.01,129.72,125.6,126,124.8983,103916400
2021-02-23,123.76,126.71,118.39,125.86,124.7595,158273000
2021-02-24,124.94,125.56,122.23,125.35,124.254,111039900
2021-02-25,124.68,126.46,120.54,120.99,119.9321,148199500
2021-02-26,122.59,124.85,121.2,121.26,120.1997,164560400
2021-03-01,123.75,127.93,122.79,127.79,126.6726,116307900
2021-03-02,128.41,128.72,125.01,125.12,124.026,102260900
2021-03-03,124.81,125.71,121.84,122.06,120.9927,112966300
2021-03-04,121.75,123.6,118.62,120.13,119.0796,178155000
2021-03-05,120.98,121.94,117.57,121.42,120.3583,153766600
2021-03-08,120.93,121,116.21,116.36,115.3426,154376600
2021-03-09,119.03,122.06,118.79,121.09,120.0312,129525800
2021-03-10,121.69,122.17,119.45,119.98,118.9309,111943300
2021-03-11,122.54,123.21,121.26,121.96,120.8936,103026500
2021-03-12,120.4,121.17,119.16,121.03,119.9717,88105100
2021-03-15,121.41,124,120.42,123.99,122.9059,92403800
2021-03-16,125.7,127.22,124.72,125.57,124.4721,115227900
2021-03-17,124.05,125.86,122.34,124.76,123.6691,111932600
2021-03-18,122.88,123.18,120.32,120.53,119.4761,121229700
2021-03-19,119.9,121.43,119.68,119.99,118.9408,185549500
2021-03-22,120.33,123.87,120.26,123.39,122.3111,111912300
2021-03-23,123.33,124.24,122.14,122.54,121.4685,95467100
2021-03-24,122.82,122.9,120.07,120.09,119.04,88530500
2021-03-25,119.54,121.66,119,120.59,119.5356,98844700
2021-03-26,120.35,121.48,118.92,121.21,120.1502,94071200
2021-03-29,121.65,122.58,120.73,121.39,120.3286,80819200
2021-03-30,120.11,120.4,118.86,119.9,118.8516,85671900
2021-03-31,121.65,123.52,121.15,122.15,121.082,118323800
2021-04-01,123.66,124.18,122.49,123,121.9245,75089100
2021-04-05,123.87,126.16,123.07,125.9,124.7992,88651200
2021-04-06,126.5,127.13,125.65,126.21,125.1065,80171300
2021-04-07,125.83,127.92,125.14,127.9,126.7817,83466700
2021-04-08,128.95,130.39,128.52,130.36,129.2202,88844600
2021-04-09,129.8,133.04,129.47,133,131.8371,106686700
2021-04-12,132.52,132.85,130.63,131.24,130.0925,91420000
2021-04-13,132.44,134.66,131.93,134.43,133.2546,91266500
2021-04-14,134.94,135,131.66,132.03,130.8756,87222800
2021-04-15,133.82,135,133.64,134.5,133.324,89347100
2021-04-16,134.3,134.67,133.28,134.16,132.9869,84922400
2021-04-19,133.51,135.47,133.34,134.84,133.661,94264200
2021-04-20,135.02,135.53,131.81,133.11,131.9461,94812300
2021-04-21,132.36,133.75,131.3,133.5,132.3327,68847100
2021-04-22,133.04,134.15,131.41,131.94,130.7864,84566500
2021-04-23,132.16,135.12,132.16,134.32,133.1455,78657500
2021-04-26,134.83,135.06,133.56,134.72,133.542,66905100
2021-04-27,135.01,135.41,134.11,134.39,133.2149,66015800
2021-04-28,134.31,135.02,133.08,133.58,132.412,107760100
2021-04-29,136.47,137.07,132.45,133.48,132.3129,151101000
2021-04-30,131.78,133.56,131.07,131.46,130.3106,109839500
2021-05-03,132.04,134.07,131.83,132.54,131.3811,75135100
2021-05-04,131.19,131.49,126.7,127.85,126.7321,137564700
2021-05-05,129.2,130.45,127.97,128.1,126.9799,84000900
2021-05-06,127.89,129.75,127.13,129.74,128.6056,78128300
2021-05-07,130.85,131.26,129.48,130.21,129.2907,78973300
2021-05-10,129.41,129.54,126.81,126.85,125.9544,88071200
2021-05-11,123.5,126.27,122.77,125.91,125.0211,126142800
2021-05-12,123.4,124.64,122.25,122.77,121.9032,112172300
2021-05-13,124.58,126.15,124.26,124.97,124.0877,105861300
2021-05-14,126.25,127.89,125.85,127.45,126.5502,81918000
2021-05-17,126.82,126.93,125.17,126.27,125.3785,74244600
2021-05-18,126.56,126.99,124.78,124.85,123.9686,63342900
2021-05-19,123.16,124.92,122.86,124.69,123.8097,92612000
2021-05-20,125.23,127.72,125.1,127.31,126.4112,76857100
2021-05-21,127.82,128,125.21,125.43,124.5445,79295400
2021-05-24,126.01,127.94,125.94,127.1,126.2027,63092900
2021-05-25,127.82,128.32,126.32,126.9,126.0041,72009500
2021-05-26,126.96,127.39,126.42,126.85,125.9544,56575900
2021-05-27,126.44,127.64,125.08,125.28,124.3955,94625600
2021-05-28,125.57,125.8,124.55,124.61,123.7303,71311100
2021-06-01,125.08,125.35,123.94,124.28,123.4026,67637100
2021-06-02,124.28,125.24,124.05,125.06,124.1771,59278900
2021-06-03,124.68,124.85,123.13,123.54,122.6678,76229200
2021-06-04,124.07,126.16,123.85,125.89,125.0012,75169300
2021-06-07,126.17,126.32,124.83,125.9,125.0111,71057600
2021-06-08,126.6,128.46,126.21,126.74,125.8452,74403800
2021-06-09,127.21,127.75,126.52,127.13,126.2325,56877900
2021-06-10,127.02,128.19,125.94,126.11,125.2197,71186400
2021-06-11,126.53,127.44,126.1,127.35,126.4509,53522400
2021-06-14,127.82,130.54,127.07,130.48,129.5588,96906500
2021-06-15,129.94,130.6,129.39,129.64,128.7247,62746300
2021-06-16,130.37,130.89,128.46,130.15,129.2311,91815000
2021-06-17,129.8,132.55,129.65,131.79,130.8596,96721700
2021-06-18,130.71,131.51,130.24,130.46,129.539,108953300
2021-06-21,130.3,132.41,129.21,132.3,131.366,79663300
2021-06-22,132.13,134.08,131.62,133.98,133.0341,74783600
2021-06-23,133.77,134.32,133.23,133.7,132.7561,60214200
2021-06-24,134.45,134.64,132.93,133.41,132.4681,68711000
2021-06-25,133.46,133.89,132.81,133.11,132.1702,70783700
2021-06-28,133.41,135.25,133.35,134.78,133.8285,62111300
2021-06-29,134.8,136.49,134.35,136.33,135.3675,64556100
2021-06-30,136.17,137.41,135.87,136.96,135.9931,63261400
2021-07-01,136.6,137.33,135.76,137.27,136.3009,52485800
2021-07-02,137.9,140,137.75,139.96,138.9719,78852600
2021-07-06,140.07,143.15,140.07,142.02,141.0173,108181800
2021-07-07,143.54,144.89,142.66,144.57,143.5493,104911600
2021-07-08,141.58,144.06,140.67,143.24,142.2287,105575500
2021-07-09,142.75,145.65,142.65,145.11,144.0855,99890800
2021-07-12,146.21,146.32,144,144.5,143.4798,76299700
2021-07-13,144.03,147.46,143.63,145.64,144.6118,100827100
2021-07-14,148.1,149.57,147.68,149.15,148.097,127050800
2021-07-15,149.24,150,147.09,148.48,147.4317,106820300
2021-07-16,148.46,149.76,145.88,146.39,145.3565,93251400
2021-07-19,143.75,144.07,141.67,142.45,141.4443,121434600
2021-07-20,143.46,147.1,142.96,146.15,145.1182,96350000
2021-07-21,145.53,146.13,144.63,145.4,144.3735,74993500
2021-07-22,145.94,148.2,145.81,146.8,145.7636,77338200
2021-07-23,147.55,148.72,146.92,148.56,147.5112,71447400
2021-07-26,148.27,149.83,147.7,148.99,147.9381,72434100
2021-07-27,149.12,149.21,145.55,146.77,145.7338,104818600
