# s, count
0.63769,0.38290
0.63838,0.35799
0.63907,0.34749
0.63976,0.35112
0.64045,0.36794
0.64114,0.39686
0.64183,0.43694
0.64252,0.48681
0.64321,0.54477
0.64390,0.60885
0.64459,0.67670
0.64529,0.74575
0.64598,0.81294
0.64667,0.87496
0.64736,0.92873
0.64805,0.97147
0.64874,1.00099
0.64943,1.01601
0.65012,1.01610
0.65081,1.00218
0.65150,0.97634
0.65219,0.94154
0.65288,0.90152
0.65357,0.86057
0.65426,0.82320
0.65495,0.79356
0.65565,0.77533
0.65634,0.77118
0.65703,0.78270
0.65772,0.81003
0.65841,0.85175
0.65910,0.90519
0.65979,0.96664
0.66048,1.03171
0.66117,1.09579
0.66186,1.15443
0.66255,1.20391
0.66324,1.24161
0.66393,1.26591
0.66462,1.27626
0.66532,1.27312
0.66601,1.25743
0.66670,1.23039
0.66739,1.19314
0.66808,1.14654
0.66877,1.09129
0.66946,1.02776
0.67015,0.95613
0.67084,0.87688
0.67153,0.79093
0.67222,0.69998
0.67291,0.60602
0.67360,0.51159
0.67429,0.41946
0.67498,0.33235
0.67568,0.25278
0.67637,0.18265
0.67706,0.12344
0.67775,0.07575
0.67844,0.03980
0.67913,0.01530
0.67982,0.00172
0.68051,-0.00176
0.68120,0.00408
0.68189,0.01865
0.68258,0.04101
0.68327,0.07062
0.68396,0.10697
0.68465,0.14971
0.68535,0.19851
0.68604,0.25265
0.68673,0.31156
0.68742,0.37486
0.68811,0.44189
0.68880,0.51188
0.68949,0.58366
0.69018,0.65597
0.69087,0.72740
0.69156,0.79566
0.69225,0.85798
0.69294,0.91179
0.69363,0.95450
0.69432,0.98429
0.69502,0.99922
0.69571,0.99861
0.69640,0.98271
0.69709,0.95217
0.69778,0.90893
0.69847,0.85550
0.69916,0.79505
0.69985,0.73069
0.70054,0.66567
0.70123,0.60294
0.70192,0.54521
0.70261,0.49406
0.70330,0.45078
0.70399,0.41658
0.70468,0.39152
0.70538,0.37610
0.70607,0.37062
0.70676,0.37575
0.70745,0.39204
0.70814,0.41941
0.70883,0.45794
0.70952,0.50770
0.71021,0.56810
0.71090,0.63803
0.71159,0.71559
0.71228,0.79861
0.71297,0.88489
0.71366,0.97142
0.71435,1.05493
0.71505,1.13270
0.71574,1.20204
0.71643,1.26128
0.71712,1.30831
0.71781,1.34163
0.71850,1.36052
0.71919,1.36403
0.71988,1.35179
0.72057,1.32410
0.72126,1.28219
0.72195,1.22772
0.72264,1.16325
0.72333,1.09175
0.72402,1.01702
0.72471,0.94218
0.72541,0.86989
0.72610,0.80263
0.72679,0.74129
0.72748,0.68633
0.72817,0.63721
0.72886,0.59314
0.72955,0.55298
0.73024,0.51509
0.73093,0.47844
0.73162,0.44282
0.73231,0.40859
0.73300,0.37666
0.73369,0.34816
0.73438,0.32465
0.73508,0.30757
0.73577,0.29752
0.73646,0.29450
0.73715,0.29799
0.73784,0.30679
0.73853,0.31954
0.73922,0.33418
0.73991,0.34911
0.74060,0.36277
0.74129,0.37398
0.74198,0.38264
0.74267,0.38893
0.74336,0.39380
0.74405,0.39830
0.74474,0.40383
0.74544,0.41180
0.74613,0.42335
0.74682,0.43954
0.74751,0.46184
0.74820,0.49167
0.74889,0.53006
0.74958,0.57820
0.75027,0.63728
0.75096,0.70821
0.75165,0.79093
0.75234,0.88463
0.75303,0.98775
0.75372,1.09788
0.75441,1.21168
0.75511,1.32534
0.75580,1.43451
0.75649,1.53491
0.75718,1.62247
0.75787,1.69356
0.75856,1.74494
0.75925,1.77413
0.75994,1.77962
0.76063,1.76096
0.76132,1.71852
0.76201,1.65361
0.76270,1.56914
0.76339,1.46891
0.76408,1.35714
0.76477,1.23864
0.76547,1.11831
0.76616,1.00069
0.76685,0.88973
0.76754,0.78817
0.76823,0.69818
0.76892,0.62073
0.76961,0.55549
0.77030,0.50174
0.77099,0.45830
0.77168,0.42392
0.77237,0.39758
0.77306,0.37860
0.77375,0.36680
0.77444,0.36214
0.77514,0.36464
0.77583,0.37425
0.77652,0.39063
0.77721,0.41287
0.77790,0.43952
0.77859,0.46875
0.77928,0.49847
0.77997,0.52648
0.78066,0.55118
0.78135,0.57166
0.78204,0.58792
0.78273,0.60100
0.78342,0.61288
0.78411,0.62641
0.78480,0.64450
0.78550,0.66996
0.78619,0.70529
0.78688,0.75189
0.78757,0.80995
0.78826,0.87813
0.78895,0.95361
0.78964,1.03237
0.79033,1.10912
0.79102,1.17806
0.79171,1.23368
0.79240,1.27088
0.79309,1.28566
0.79378,1.27552
0.79447,1.23973
0.79517,1.17939
0.79586,1.09703
0.79655,0.99663
0.79724,0.88310
0.79793,0.76174
0.79862,0.63777
0.79931,0.51603
0.80000,0.40064
